RI	Common Name	Plant source	Reference
908	santolina triene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
909	2,4-( E, E)-hexadienal	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
926	tricyclene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
926	tricyclene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
927	tricyclene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
927	tricyclene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
928	artemisia triene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
928	tricyclene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
928	tricyclene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
930	tricyclene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
930	α-thujene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
931	a-thujene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
932	α-thujene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
932	α-thujene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
932	α-thujene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
938	α-pinene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
938	α-pinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
939	α-pinene	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
939	α-pinene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
940	α-pinene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
940	α-pinene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
940	α-pinene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
942	α-pinene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
953	camphene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
954	camphene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
954	camphene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
954	carnphene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
955	camphene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
955	camphene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
957	camphene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
958	thuja-2,4(10)-diene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
960	thuja-2,4(10)diene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
970	n-heptanol	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
976	sabinene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
976	sabinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
977	sabinene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
978	sabinene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
979	β-pinene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
980	b-pinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
980	β-pinene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
981	6-methyl-5-hepten-2-one	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
981	β-pinene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
981	β-pinene	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
981	β-pinene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
981	octen-3-ol	KOSP	current study
982	β-pinene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
983	6-methyl-5-hepten-2-one	KOSP	current study
985	6-methyl-5-hepten-2-one	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
986	6-methyl-5-hepten-2-one	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
986	6-methyl-5-heptene-2-one	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
987	6-methyl-5-hepten-2-one	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
987	6-methyl-5-hepten-2-one	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
991	dehydro-1,8-cineole	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
991	myrcene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
991	myrcene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
991	rnyrcene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
992	myrcene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
992	myrcene	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
992	myrcene 	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
992	myrcene 	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
992	myrcrene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
993	myrcene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
994	6-methyl-5-hepten-2-ol	KOSP	current study
997	yomogi alcohol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1001	n-octanal	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1004	a-phellandrene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1004	a-phellandrene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1004	a-phellandrene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1006	a-phellandrene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1006	a-phellandrene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1006	a-phellandrene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1007	α-phellandrene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1011	d-3-carene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1011	δ-3-carene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1011	δ-3-carene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1012	δ-3-carene	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1013	δ-3-carene	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
1013	δ-3-carene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1014	δ-3-carene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1017	α-terpinene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1017	α-terpinene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1018	α-terpinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1019	α-terpinene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1019	α-terpinene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1020	α-terpinene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1021	p-methylanisole	KOSP	current study
1024	r-cymene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1025	p-cymene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1025	r-cymene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1025	r-cymene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1027	o-cymene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1027	r-cymene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1027	r-cymene	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
1027	r-cymene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1028	r-cymene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1030	limonene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1031	limonene	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1031	limonene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1031	β-phellandrene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1032	limonene	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
1032	limonene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1032	β-phellandrene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1033	1,8-cineole	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1033	1,8-cineole 	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1033	limonene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1033	limonene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1035	1,8-cineole	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1039	(Z)-b-ocimene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1039	(Z)-β-ocirnene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1040	(Z)-β-ocimene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1041	(Z)-β-ocimene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1041	(Z)-β-ocimene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1041	(Z)-β-ocimene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1041	(Z)-β-ocimene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1043	1,8-cineole	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
1043	phenylacetaldehyde	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1043	phenylacetaldehyde	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1044	phenylacetaldehyde	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1044	phenylacetaldehyde	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1045	phenylacetaldehyde	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1050	(E)-b-ocimene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1050	(E)-β-ocirnene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1051	(E)-β-ocimene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1052	(E)-β-ocimene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1052	(E)-β-ocimene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1052	(E)-β-ocimene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1052	(E)-β-ocimene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1061	artemisia ketone	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1061	g-terpinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1061	y-terpinene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1061	y-terpinene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1062	y-terpinene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1062	y-terpinene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1062	γ-terpinene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1066	acetophenone	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1068	cis-sabinene hydrate	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1069	cis-sabinene hydrate	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1069	cis-sabinene hydrate	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1070	cis-sabinene hydrate	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1072	n-octanol	KOSP	current study
1072	n-octanol	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1074	cis-linalool oxide (furanoid)	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1075	m-cresol	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1083	artemisia alcohol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1085	artemisia alcohol	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
1087	p-mentha-2,4(8)-diene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1088	terpinolene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1089	p-mentha-2,4(8)diene	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1089	terpinolene	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1089	terpinolene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1089	terpinolene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1089	terpinolene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1090	p-mentha-2,4(8)-diene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1090	terpinolene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1091	methybenzoate	KOSP	current study
1096	trans-sabinene hydrate	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1096	trans-sabinene hydrate	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1097	linalool	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1099	linalool	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1099	linalool	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1099	linalool	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1099	linalool	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1111	p-mentha-1,3,8-triene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1113	1,3,8-p-menthatriene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1114	endo-fenchol	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1114	trans-thujone	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1118	isophorone	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1119	dehydro-sabina ketone	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1121	cis-pinene hydrate	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1123	chrysanthenone	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1123	cis-p-menth-2-en-1-ol	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1127	α-campholenal	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1127	α-campholenal	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1127	α-campholenal	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1137	cis-p-mentha-2,4-dien-1-ol	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1138	nopinone	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1139	trans-pinocarveol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1141	trans-pinocarveol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1141	trans-pinocarveol	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1141	trans-p-menth-2-en-1-ol	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1143	cis-pinene hydrate	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1143	cis-verbenol	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1143	cis-verbenol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1144	camphor	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1144	camphor	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1145	camphor	ANCA	Medina et. al, Journal of Agricultural and Food Chemistry 53 (2005) 8694.
1145	neoallo-ocimene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1146	camphor 	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1146	trans-verbenol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1147	trans-verbenol	CEGR	Lucero et. al.,  Journal of essential oil research (in press).
1147	trans-verbenol	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1150	camphene	DAFO	Lucero et. al., Journal of essential oil research 17 (2005) 645.
1150	camphene hydrate	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1158	isobomeol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1158	sabina ketone	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1163	cis-chrysanthemol	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1163	cis-chrysanthemol	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
