RI	Common Name	Plant source	Reference
1498	a-muurolene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1498	epizonarene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1498	epizonarene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1499	a-muurolene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1506	d-selinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1509	β-bisabolene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1509	β-bisabolene	GUSA	Lucero, et. al, Journal of Essential Oil Research 18 (2006) 121.
1510	b-curcumene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1512	(E)-β-ionone	CELAS2	Lucero et. al., in Sosebee, D. et. al. (Editors), 13th Wildland Shrub Symposium:  Shrubland Dynamics: Fire & Water, U.S. Department of Agriculture, Forest Service, Rocky Mountain Research Station., Lubbock, TX, USA, 2004, p. 142.
1512	β-curcumene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1513	g-cadinene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1513	g-cadinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1514	sesquicineole	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
1514	trans-g-cadinene	PSSC6	Lucero et. al., Journal of Essential Oil Research 15 (2003) 108.
1521	cis-calamenene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1523	d-cadinene	DYAC	Tellez et. al., Journal of Agricultural and Food Chemistry 45, 3276 (1997).
1523	d-cadinene	FLCE	Tellez et. al., Journal of essential oil research 9, 619 (Nov/Dec 1997).
1524	d-cadinene	CHPU4	Tellez et. al., Journal of Essential Oils Research 10, 201 (Mar/Apr 1998).
